iso_code,continent,Country_Region,Lat,Long_,last_updated_date,Confirmed,new_cases,Deaths,new_deaths,new_tests,Tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty
CHE,Europe,Switzerland,46.8182,8.2275,2021-09-17,823078,2096,10999,8,32826,9882439,0.073,13.7,10055192,5270807,4587999,8715494,43.1,18.436,12.644,57410.166,
SYR,Asia,Syria,34.802075,38.996815,2021-09-17,30337,184,2112,8,,,,,,,,18275704,21.7,,2.577,,
TWN,Asia,Taiwan,23.7,121,2021-09-17,16123,8,839,0,24536,3092342,0,3553.5,12938098,11536036,1402062,23855008,42.2,,8.353,,
TJK,Asia,Tajikistan,38.861034,71.276093,2021-09-17,17484,0,125,0,,,,,3446777,2168537,1278240,9749625,23.3,3.466,2.155,2896.913,4.8
TZA,Africa,Tanzania,-6.369028,34.888822,2021-09-17,1367,0,50,0,,,,,350000,350000,350000,61498438,17.7,3.108,1.874,2683.304,49.1
THA,Asia,Thailand,15.870032,100.992541,2021-09-17,1448792,14555,15124,171,41354,12894770,0.293,3.4,43342103,28436015,14285995,69950844,40.1,11.373,6.89,16277.671,0.1
TLS,Asia,Timor,-8.874217,125.727539,2021-09-17,18943,87,103,1,,194367,0.164,6.1,643324,408918,234406,1343875,18,3.556,1.897,6570.102,30.3
TGO,Africa,Togo,8.6195,0.8248,2021-09-17,24369,276,211,2,1836,491349,0.087,11.5,651941,414249,237692,8478242,19.4,2.839,1.525,1429.813,49.2
TTO,North America,Trinidad and Tobago,10.6918,-61.2225,2021-09-17,48143,218,1405,8,5319,331651,0.143,7,1014945,555534,459411,1403374,36.2,10.014,5.819,28763.071,
TUN,Africa,Tunisia,33.886917,9.537499,2021-09-17,698427,1006,24415,32,9547,2830291,0.143,7,7017171,4610453,3128815,11935764,32.7,8.001,5.075,10849.297,2
